"","CAMPUS","CDB00A001219R","CDB00A001019D","CDH00A001219R","CDH00A001019D","CDW00A001219R","CDW00A001019D"
"174",13901102,0,14,26,768,30,86
"175",13901105,,,,,,
"176",13902101,,,41,138,67,39
"177",13903001,33,-3,28,301,48,124
"178",13903101,,,38,150,41,66
"179",13905001,-1,-1,52,291,72,72
"180",13905041,33,-3,43,387,63,178
"181",13905101,64,11,37,349,62,124
"182",14801001,5,145,12,98,24,38
"183",14801002,0,21,6,634,9,185
"184",14801004,5,40,7,121,18,39
"185",14801005,10,96,9,231,29,-3
"186",14801006,7,-3,12,111,45,47
"187",14801007,8,13,11,311,34,56
"188",14801008,0,-3,12,91,20,123
"189",14801009,0,6,11,203,13,16
"190",14801010,0,11,7,179,13,72
"191",14803002,11,-3,28,29,47,49
"192",14803003,19,88,28,79,42,100
"193",14803004,44,16,21,53,47,184
"194",14803101,27,51,32,127,46,171
"195",14804002,,,,,,
"196",14804005,-1,-1,33,15,64,36
"197",14804006,59,68,63,484,73,1407
"198",14804007,20,5,29,35,42,64
"199",14804008,,,22,27,36,251
"200",14901001,48,48,44,129,61,389
"201",14901041,27,64,42,231,59,725
"202",14901101,32,60,48,231,58,677
"203",14901102,,,,,,
"204",14902001,35,74,24,335,49,117
"205",14903001,42,386,45,1467,66,1937
"206",14903005,65,31,74,156,74,401
"207",14903043,32,213,39,856,53,1276
"208",14903044,41,115,35,1079,54,1151
"209",14903045,41,136,46,773,61,1818
"210",14903102,17,18,42,115,52,161
"211",14903103,12,41,36,167,49,134
"212",14903104,0,20,22,335,25,84
"213",14903108,29,14,60,145,73,718
"214",14903109,70,20,42,273,76,406
"215",14903111,39,97,55,278,60,545
"216",14903116,44,77,56,306,69,431
"217",14903117,35,48,41,186,59,608
"218",14903118,26,42,35,393,39,479
"219",14903119,,,,,,
"220",14905001,38,-3,69,68,71,166
"221",14905041,14,14,56,150,62,257
"222",14905101,-1,-1,47,76,67,221
"223",14906001,34,1338,41,1128,56,641
"224",14906002,44,1743,51,1154,56,617
"225",14906004,,,,,,
"226",14906006,12,147,20,86,30,30
"227",14906007,51,1116,58,886,67,890
"228",14906008,34,1736,37,965,55,362
"229",14906009,,,,,,
"230",14906013,85,381,89,457,93,252
"231",14906022,,,,,,
"232",14906026,,,,,,
"233",14906042,23,682,33,850,35,215
"234",14906043,25,726,35,687,44,303
"235",14906044,25,773,31,585,42,223
"236",14906046,32,424,34,715,47,585
"237",14906048,20,860,30,526,31,212
"238",14906049,39,950,49,788,55,449
"239",14906050,26,928,34,428,48,252
"240",14906051,45,720,58,705,72,820
"241",14906052,39,546,50,546,53,745
"242",14906053,41,1167,49,899,54,531
"243",14906054,39,1380,50,1175,56,512
"244",14906100,,,,,,
"245",14906102,44,184,51,203,69,148
"246",14906103,31,169,33,147,36,53
"247",14906105,36,124,43,352,48,155
"248",14906108,32,235,25,260,43,447
"249",14906109,23,167,39,446,42,52
"250",14906110,21,57,36,300,50,78
"251",14906111,22,233,31,134,42,88
"252",14906112,15,112,23,159,30,67
"253",14906113,30,264,36,105,41,70
"254",14906115,47,152,44,229,54,266
"255",14906116,63,41,54,26,67,46
"256",14906119,32,386,42,163,62,66
"257",14906120,24,511,34,201,44,143
"258",14906121,39,263,42,318,54,323
"259",14906122,33,457,39,186,49,86
"260",14906123,56,147,47,129,57,125
"261",14906124,34,293,58,254,60,155
"262",14906125,27,262,37,173,59,95
"263",14906126,39,183,56,128,69,116
"264",14906127,35,166,35,587,51,74
"265",14906128,48,86,57,159,63,175
"266",14906129,25,304,35,143,44,64
"267",14906130,35,385,55,185,61,71
"268",14906131,34,435,48,223,47,163
"269",14906132,18,28,43,40,58,62
"270",14906133,30,499,40,352,53,277
"271",14906135,37,374,49,222,46,160
"272",14906136,41,326,47,321,59,476
"273",14906137,44,108,44,240,47,300
"274",14906138,31,380,38,398,46,222
"275",14906139,39,493,48,422,56,179
"276",14906140,39,355,53,265,58,308
"277",14907001,20,5,61,119,68,232
"278",14907041,33,18,44,178,58,403
"279",14907043,,,,,,
"280",14907102,-1,-1,27,138,52,279
"281",14908001,50,-3,38,152,65,501
"282",14908005,,,,,,
"283",14908042,50,12,34,278,61,1019
"284",14908102,73,11,42,225,58,808
"285",14909002,33,987,47,1533,59,677
"286",14909005,,,,,,
"287",14909008,9,67,7,73,17,24
"288",14909041,22,477,26,662,49,301
"289",14909042,19,685,27,884,54,323
"290",14909044,25,373,37,861,51,508
"291",14909101,,,,,,
"292",14909102,34,98,40,166,46,102
"293",14909107,41,207,44,304,54,154
"294",14909110,22,153,32,297,49,162
"295",14909111,17,177,30,466,51,174
"296",14909114,32,127,32,152,46,168
"297",14909116,32,196,39,199,42,90
"298",14909117,30,193,54,186,67,177
"299",14909118,32,65,40,428,26,23
"300",14910001,60,-3,59,180,67,350
"301",14910041,35,-3,46,308,56,640
"302",14910101,33,-3,40,229,50,665
"303",14910103,,,,,,
"304",15801001,,,17,-3,-1,-1
"305",15801002,-1,-1,36,58,100,5
"306",15801003,,,8,-3,-1,-1
"307",15802001,26,220,50,230,13,8
"308",15802004,29,161,24,99,-1,-1
"309",15805001,-1,-1,63,202,100,15
"310",15805041,13,-3,24,741,39,23
