"","CAMPUS","CDB00A001219R","CDB00A001019D","CDH00A001219R","CDH00A001019D","CDW00A001219R","CDW00A001019D"
"2240",57905362,18,82,39,224,59,34
"2241",57905363,,,87,531,-1,-1
"2242",57905380,29,787,36,657,39,18
"2243",57905381,75,232,75,722,-1,-1
"2244",57905382,41,172,48,286,64,11
"2245",57905383,45,62,49,150,87,38
"2246",57905384,87,47,87,218,93,219
"2247",57905385,,,,,,
"2248",57905386,,,,,,
"2249",57905389,6,-3,11,148,,
"2250",57906001,44,3701,47,823,41,87
"2251",57906003,4,90,15,-3,-1,-1
"2252",57906007,,,,,,
"2253",57906008,,,,,,
"2254",57906041,22,1333,27,199,28,18
"2255",57906042,29,1690,36,247,35,20
"2256",57906043,29,1888,31,687,26,78
"2257",57906102,26,450,44,110,24,17
"2258",57906103,20,425,32,76,67,6
"2259",57906106,32,420,68,56,23,13
"2260",57906107,29,578,33,199,68,22
"2261",57906108,37,286,41,343,43,7
"2262",57906109,32,657,24,93,28,18
"2263",57906110,,,,,,
"2264",57906111,,,,,,
"2265",57906112,28,554,30,171,56,9
"2266",57907001,38,2768,46,3368,68,139
"2267",57907004,8,50,18,51,17,6
"2268",57907005,,,,,,
"2269",57907007,,,,,,
"2270",57907041,23,807,37,1049,60,35
"2271",57907042,40,933,44,1347,47,91
"2272",57907043,35,1153,40,1369,65,68
"2273",57907101,31,104,47,311,59,22
"2274",57907102,24,37,35,356,40,5
"2275",57907103,20,212,32,204,43,-3
"2276",57907104,21,291,41,266,61,23
"2277",57907105,30,169,39,227,50,14
"2278",57907106,30,193,38,147,30,10
"2279",57907107,24,188,44,273,29,-3
"2280",57907108,21,679,38,685,29,52
"2281",57907109,28,363,41,1024,63,49
"2282",57907110,27,552,39,518,58,24
"2283",57907111,26,237,42,156,50,14
"2284",57907112,14,116,34,331,25,16
"2285",57909002,46,345,43,2370,73,402
"2286",57909003,30,514,40,2700,51,132
"2287",57909004,57,430,57,2220,80,335
"2288",57909005,51,995,60,1486,77,409
"2289",57909007,,,,,,
"2290",57909008,45,649,45,1665,56,383
"2291",57909009,51,833,50,1514,67,986
"2292",57909010,60,656,62,1310,78,1156
"2293",57909041,78,379,59,1339,88,661
"2294",57909042,19,403,30,1942,23,94
"2295",57909043,31,170,35,2440,34,149
"2296",57909045,68,465,48,2230,75,608
"2297",57909046,29,554,30,2560,36,194
"2298",57909047,55,780,59,1693,70,652
"2299",57909048,27,477,33,1619,36,145
"2300",57909049,30,660,33,1564,46,454
"2301",57909050,35,729,38,1282,51,635
"2302",57909051,33,729,43,877,40,121
"2303",57909052,49,389,48,1334,66,1352
"2304",57909053,,,,,,
"2305",57909054,31,803,38,981,55,1066
"2306",57909101,53,116,59,459,65,185
"2307",57909102,33,49,46,547,20,-3
"2308",57909103,14,57,35,546,48,25
"2309",57909105,21,47,40,270,60,15
"2310",57909107,27,78,32,499,31,81
"2311",57909108,53,36,49,923,47,38
"2312",57909109,36,56,29,285,48,21
"2313",57909110,24,178,51,405,46,13
"2314",57909111,73,153,76,212,92,243
"2315",57909112,12,-3,42,418,60,48
"2316",57909113,31,64,32,398,32,57
"2317",57909115,66,157,51,423,81,143
"2318",57909116,26,138,42,354,30,53
"2319",57909117,11,-3,36,311,29,24
"2320",57909119,15,59,50,445,43,23
"2321",57909120,28,61,33,396,73,26
"2322",57909121,13,90,32,574,33,36
"2323",57909122,55,91,78,287,85,107
"2324",57909123,35,77,49,556,55,47
"2325",57909124,14,108,36,528,23,31
"2326",57909125,80,70,69,334,87,150
"2327",57909126,44,82,44,498,73,22
"2328",57909127,53,70,50,483,68,56
"2329",57909128,28,104,41,602,33,51
"2330",57909129,53,165,69,370,69,173
"2331",57909132,19,84,36,429,39,62
"2332",57909133,36,158,38,231,42,66
"2333",57909134,34,96,49,503,59,69
"2334",57909136,27,231,43,289,41,94
"2335",57909137,28,123,45,349,59,184
"2336",57909138,47,119,48,294,58,81
"2337",57909139,51,51,54,48,60,118
"2338",57909140,40,154,55,251,51,61
"2339",57909141,36,259,46,301,46,39
"2340",57909142,24,76,48,87,60,90
"2341",57909143,35,141,47,358,57,321
"2342",57909144,57,182,55,177,63,399
"2343",57909145,52,155,43,190,54,273
"2344",57909146,35,184,43,423,52,140
"2345",57909147,34,116,37,271,55,60
"2346",57909148,42,126,44,321,59,280
"2347",57909154,32,158,39,255,51,181
"2348",57909155,56,116,51,211,64,436
"2349",57909156,34,186,51,292,55,232
"2350",57909157,23,248,39,279,53,85
"2351",57909158,38,128,35,268,54,207
"2352",57909159,31,179,39,546,49,41
"2353",57909180,,,,,,
"2354",57909181,,,,,,
"2355",57910001,84,291,79,936,86,460
"2356",57910002,36,700,36,3921,39,286
"2357",57910003,52,1169,50,2838,68,482
"2358",57910004,,,,,,
"2359",57910007,,,,,,
"2360",57910009,14,84,15,452,36,67
"2361",57910010,87,174,72,1650,82,134
"2362",57910011,90,137,82,444,95,93
"2363",57910041,27,519,31,1307,37,188
"2364",57910045,35,553,34,2047,38,212
"2365",57910047,29,476,35,880,43,191
"2366",57910050,51,685,45,1099,59,346
"2367",57910051,35,79,28,1609,30,125
"2368",57910052,28,231,34,1611,46,112
"2369",57910053,36,200,36,1737,41,145
"2370",57910101,56,72,59,466,69,61
"2371",57910102,24,49,38,556,25,55
"2372",57910104,20,204,35,341,27,30
"2373",57910106,33,243,36,219,55,102
"2374",57910109,36,99,40,852,51,63
"2375",57910113,53,94,52,704,39,107
"2376",57910118,28,46,41,713,45,55
"2377",57910119,51,160,51,829,62,74
"2378",57910120,21,100,37,253,32,68
"2379",57910121,55,431,54,458,66,229
"2380",57910122,23,129,42,451,42,53
"2381",57910123,60,226,59,217,71,154
"2382",57910124,0,-3,39,640,44,48
"2383",57910125,40,295,41,427,37,59
"2384",57910126,36,165,39,514,57,103
"2385",57910128,43,49,35,435,35,31
"2386",57910129,46,141,47,533,71,66
"2387",57910130,30,225,53,379,46,50
"2388",57910131,61,111,63,677,68,56
"2389",57910132,42,88,46,544,56,27
"2390",57910134,,,,,,
"2391",57910135,94,62,86,80,93,91
"2392",57910136,35,55,49,236,39,18
"2393",57910137,33,18,43,1265,32,41
"2394",57910138,,,,,,
"2395",57911001,63,16,86,142,92,2069
"2396",57911041,68,50,70,222,78,3182
"2397",57911101,70,10,84,43,69,454
"2398",57911102,57,7,85,34,79,549
"2399",57911103,50,-3,71,14,82,595
"2400",57911104,-1,-1,90,21,83,537
"2401",57911105,80,25,77,128,81,2228
"2402",57912002,44,242,43,3091,43,152
"2403",57912003,48,800,52,2141,64,287
"2404",57912004,47,251,47,2810,58,252
"2405",57912005,30,54,30,348,41,29
"2406",57912006,67,160,52,1706,52,183
"2407",57912007,,,,,,
"2408",57912041,34,138,35,2164,35,287
"2409",57912042,41,210,36,2216,45,153
"2410",57912043,43,296,41,1987,60,402
"2411",57912044,33,184,38,1886,47,231
"2412",57912045,29,76,38,2561,36,112
"2413",57912046,38,958,43,1157,42,148
"2414",57912048,40,107,46,2161,49,254
"2415",57912050,29,489,33,1940,41,188
"2416",57912101,19,26,36,808,46,54
"2417",57912102,16,68,34,784,43,75
"2418",57912103,41,61,30,780,40,58
"2419",57912105,19,-3,35,918,43,47
"2420",57912106,29,52,43,711,35,92
"2421",57912107,36,413,49,313,48,82
"2422",57912108,37,187,34,780,40,83
"2423",57912109,0,10,41,855,60,20
"2424",57912111,38,315,45,306,49,72
"2425",57912112,19,57,31,775,43,152
"2426",57912113,45,152,43,601,72,146
"2427",57912114,31,55,43,720,44,45
"2428",57912116,51,55,49,819,47,130
"2429",57912118,36,28,46,697,63,92
"2430",57912119,36,132,42,587,44,90
"2431",57912120,27,56,41,785,30,115
"2432",57912121,38,242,40,650,41,39
"2433",57912122,37,46,39,790,51,91
"2434",57912123,24,278,34,519,37,54
"2435",57912124,36,81,45,629,52,151
"2436",57912161,,,,,,
"2437",57912162,,,,,,
"2438",57912163,,,,,,
"2439",57913001,52,2400,52,588,67,33
"2440",57913041,44,2573,43,582,50,66
"2441",57913042,35,726,44,192,21,14
"2442",57913101,36,655,59,140,85,-3
"2443",57913102,36,409,57,355,35,20
"2444",57913103,42,638,55,195,63,24
"2445",57913106,36,435,46,24,67,9
"2446",57913107,40,471,35,-3,,
"2447",57913109,49,272,44,34,40,5
"2448",57913111,,,,,,
"2449",57914001,42,1145,53,2255,61,423
"2450",57914002,41,695,54,2902,64,362
"2451",57914003,39,752,49,2199,62,226
"2452",57914004,47,718,64,1029,72,442
"2453",57914005,50,1401,56,1954,69,430
"2454",57914007,,,,,,
"2455",57914041,25,939,40,1816,43,589
"2456",57914042,31,288,36,1972,44,245
"2457",57914043,35,574,59,1303,62,183
"2458",57914044,27,481,37,1703,47,228
"2459",57914045,32,440,34,1866,36,197
"2460",57914046,29,1127,45,1842,59,697
"2461",57914047,43,1090,45,1678,55,270
"2462",57914048,33,1137,32,2304,49,400
"2463",57914049,28,671,37,2332,44,284
"2464",57914101,32,130,41,498,37,195
"2465",57914102,33,112,48,461,52,73
"2466",57914103,34,137,46,470,43,69
"2467",57914104,26,268,48,663,42,55
"2468",57914105,21,132,41,575,27,78
"2469",57914106,25,186,38,720,46,41
"2470",57914107,43,35,53,312,77,30
"2471",57914108,19,113,42,581,55,78
"2472",57914109,25,159,37,254,47,60
"2473",57914110,25,177,48,536,59,155
"2474",57914111,34,97,46,714,38,85
"2475",57914112,24,323,38,528,41,85
"2476",57914113,27,139,41,570,33,58
"2477",57914114,42,101,41,525,48,33
"2478",57914115,36,-3,48,374,43,58
"2479",57914116,22,102,32,620,21,-3
"2480",57914117,39,66,52,371,60,86
"2481",57914118,35,104,45,442,38,52
"2482",57914119,26,110,40,240,46,142
"2483",57914120,25,203,43,202,69,26
"2484",57914121,30,209,44,374,52,88
"2485",57914122,44,52,60,100,81,102
"2486",57914123,28,249,43,219,57,93
"2487",57914124,29,271,37,329,59,68
"2488",57914125,41,98,47,212,64,137
"2489",57914126,31,166,45,214,52,90
"2490",57914127,30,439,50,155,41,73
"2491",57914128,36,115,45,413,52,48
"2492",57914129,43,190,48,215,51,112
"2493",57914130,50,308,51,442,62,61
"2494",57914131,41,146,39,680,53,68
"2495",57914132,27,269,47,718,46,46
"2496",57914133,36,28,51,1028,55,60
"2497",57914656,-1,-1,-1,-1,-1,-1
"2498",57916002,45,1272,42,1308,84,868
"2499",57916003,66,558,59,1601,90,843
"2500",57916004,53,214,52,1481,88,1115
"2501",57916005,46,1049,51,1393,64,629
"2502",57916006,,,,,,
"2503",57916008,,,,,,
"2504",57916042,36,662,39,770,84,900
"2505",57916044,55,316,42,1258,77,712
"2506",57916045,42,226,40,1056,86,925
"2507",57916047,34,967,35,947,79,487
"2508",57916048,55,480,46,833,83,594
"2509",57916049,42,688,45,802,54,216
"2510",57916050,45,406,46,744,67,610
"2511",57916051,48,103,46,963,84,975
"2512",57916101,73,84,52,242,76,406
"2513",57916102,37,19,78,55,82,282
"2514",57916103,33,69,34,615,59,41
"2515",57916104,40,52,37,456,73,62
"2516",57916105,31,374,40,224,68,193
"2517",57916106,27,51,42,320,50,58
"2518",57916107,43,47,36,266,68,510
"2519",57916108,100,-3,64,76,80,513
"2520",57916109,27,90,32,304,61,104
"2521",57916110,31,130,35,342,74,141
"2522",57916111,43,44,31,330,70,150
"2523",57916112,54,165,49,150,63,166
"2524",57916113,50,-3,35,469,64,33
"2525",57916114,35,348,39,366,34,103
"2526",57916115,40,101,43,489,49,53
"2527",57916116,31,175,30,316,72,350
"2528",57916117,30,111,58,156,83,941
"2529",57916118,69,29,59,95,86,310
"2530",57916119,,,,,,
"2531",57916120,36,242,44,250,24,141
"2532",57916121,42,233,39,329,80,41
"2533",57916122,40,-3,51,170,80,601
"2534",57916123,50,6,97,31,85,408
"2535",57916124,55,190,41,109,60,99
"2536",57916125,52,54,42,241,79,278
"2537",57916126,37,385,38,274,53,47
"2538",57916127,34,62,48,144,58,180
"2539",57916128,44,39,68,108,81,797
"2540",57916129,27,101,32,68,59,92
"2541",57916130,29,407,37,160,55,117
"2542",57916131,30,88,44,118,62,288
"2543",57916132,32,85,45,65,80,449
"2544",57916133,52,63,40,124,60,163
"2545",57916134,47,202,36,179,78,342
"2546",57916135,36,297,24,259,38,77
"2547",57916137,33,84,34,1128,26,27
"2548",57916142,76,225,54,188,80,176
"2549",57916143,40,455,36,309,44,34
"2550",57916144,30,389,28,273,40,20
"2551",57916145,7,43,29,974,27,26
"2552",57916146,37,439,29,104,10,-3
"2553",57919001,53,94,76,75,77,397
"2554",57919041,59,152,59,195,73,884
"2555",57919101,46,72,46,87,66,401
"2556",57922001,62,250,69,639,82,1402
"2557",57922003,69,26,80,71,85,208
"2558",57922007,,,,,,
"2559",57922042,51,123,71,270,81,754
"2560",57922043,48,149,59,526,75,752
"2561",57922044,60,105,67,425,77,1111
"2562",57922101,48,21,52,58,72,218
"2563",57922103,31,49,38,79,64,237
"2564",57922105,66,29,52,48,68,231
"2565",57922106,57,35,45,211,62,187
"2566",57922107,50,24,67,70,73,237
"2567",57922108,45,33,59,74,75,292
"2568",57922109,35,31,45,77,60,267
"2569",57922110,35,23,61,28,69,54
"2570",57922111,75,20,68,234,73,188
"2571",57922112,48,29,25,44,57,63
"2572",58902001,,,22,123,43,28
"2573",58905001,100,-3,75,125,86,257
"2574",58906001,59,29,44,516,61,74
"2575",58906004,40,5,9,58,,
"2576",58906041,28,43,21,1043,41,135
"2577",58906103,23,31,26,839,49,116
"2578",58906105,,,,,,
"2579",58909001,88,8,51,174,68,201
"2580",59901001,57,7,37,1539,67,160
"2581",59901004,,,10,112,17,6
"2582",59901040,,,,,,
"2583",59901042,-1,-1,40,1293,63,138
"2584",59901043,80,5,36,964,53,154
"2585",59901101,,,42,492,48,29
"2586",59901102,17,-3,30,529,32,34
"2587",59901103,,,26,470,31,26
"2588",59901104,-1,-1,35,526,62,111
"2589",59902101,,,41,155,48,25
"2590",60902001,17,29,57,51,61,216
"2591",60902041,34,56,35,55,51,365
"2592",60902101,23,39,40,50,37,308
"2593",60914001,19,57,14,-3,39,88
"2594",60914102,24,25,33,6,48,40
"2595",61802003,32,22,24,201,48,21
"2596",61802004,37,59,29,42,29,76
"2597",61802005,32,38,25,128,25,12
"2598",61804001,,,,,,
"2599",61804002,56,165,56,566,63,560
"2600",61805001,18,44,51,164,63,534
"2601",61901002,45,563,47,1325,68,1011
"2602",61901003,34,448,41,1228,65,1193
"2603",61901005,,,,,,
"2604",61901006,,,,,,
"2605",61901007,68,363,60,902,82,2014
"2606",61901008,47,954,60,608,69,1268
"2607",61901039,63,-3,41,22,65,17
"2608",61901040,8,13,21,14,38,13
"2609",61901041,52,263,50,686,68,1636
"2610",61901044,45,267,33,1331,54,940
"2611",61901045,28,238,33,974,62,691
"2612",61901046,39,254,38,868,63,953
"2613",61901047,36,892,42,536,55,1143
"2614",61901048,56,174,61,514,77,1806
"2615",61901049,35,578,33,897,58,793
"2616",61901050,29,560,35,471,49,1144
"2617",61901102,28,113,43,126,66,423
"2618",61901104,36,58,40,363,51,204
"2619",61901105,24,46,38,467,54,217
"2620",61901106,41,74,47,182,69,387
"2621",61901107,32,62,32,253,63,367
"2622",61901108,36,205,46,382,59,136
"2623",61901109,42,66,45,218,66,484
"2624",61901110,27,84,44,416,48,194
"2625",61901111,38,37,38,287,42,113
"2626",61901112,43,135,42,234,56,301
"2627",61901113,33,70,52,416,66,267
"2628",61901114,,,,,,
"2629",61901115,71,-3,74,78,66,384
"2630",61901116,52,116,40,339,63,349
"2631",61901117,34,98,64,74,63,356
"2632",61901118,60,63,57,163,73,676
"2633",61901119,41,179,48,149,61,565
"2634",61901120,31,310,35,215,54,365
"2635",61901121,42,99,46,208,63,430
"2636",61901122,44,41,62,63,67,603
"2637",61901123,32,121,45,62,67,227
"2638",61901124,,,,,,
"2639",61901125,36,166,39,178,51,407
"2640",61901126,63,16,63,80,63,395
"2641",61901127,29,375,33,219,52,338
"2642",61902001,52,1076,51,3185,77,894
"2643",61902002,74,140,77,503,85,2582
"2644",61902004,53,358,63,961,75,964
"2645",61902005,19,54,23,151,37,73
"2646",61902007,,,,,,
"2647",61902008,55,623,64,1011,85,1557
"2648",61902010,79,119,81,551,88,2654
"2649",61902042,31,134,37,1170,58,298
"2650",61902044,34,261,44,915,58,874
"2651",61902045,65,97,60,445,66,1235
"2652",61902046,17,345,28,684,45,698
"2653",61902047,48,233,51,533,70,1093
"2654",61902048,47,113,61,410,72,1655
"2655",61902049,39,80,58,370,68,1820
"2656",61902050,30,288,27,2197,42,180
"2657",61902052,28,432,29,1015,46,673
"2658",61902053,72,-3,70,233,77,1547
"2659",61902054,31,369,43,339,69,396
"2660",61902055,55,29,73,156,80,1132
"2661",61902056,24,917,36,880,45,272
"2662",61902058,55,83,66,197,77,1262
"2663",61902059,46,314,48,645,76,865
"2664",61902101,21,14,22,967,,
"2665",61902102,27,86,37,112,40,99
"2666",61902104,12,25,26,809,31,45
"2667",61902105,28,29,26,477,33,30
"2668",61902106,24,196,41,152,37,212
"2669",61902107,35,106,44,218,45,195
"2670",61902108,41,27,44,135,60,307
"2671",61902109,32,72,46,522,52,154
"2672",61902110,25,-3,51,61,68,347
"2673",61902111,26,105,30,122,39,80
"2674",61902112,45,-3,63,94,68,430
"2675",61902113,36,120,40,128,58,252
"2676",61902114,43,14,62,87,70,619
"2677",61902115,28,60,36,116,52,162
"2678",61902116,44,109,38,281,66,128
"2679",61902117,56,27,53,90,70,467
"2680",61902118,30,115,52,62,66,182
"2681",61902119,36,91,45,146,60,287
"2682",61902120,60,15,60,93,74,297
"2683",61902121,46,48,64,80,58,256
"2684",61902122,47,36,46,87,69,592
"2685",61902123,38,13,51,97,68,487
"2686",61902124,49,51,42,382,62,134
"2687",61902125,28,155,43,54,52,99
"2688",61902126,65,-3,48,211,62,508
"2689",61902127,40,93,45,194,57,241
"2690",61902128,37,-3,67,85,71,352
"2691",61902129,84,-3,76,55,74,421
"2692",61902130,63,24,69,171,74,716
"2693",61902131,35,263,42,356,45,101
"2694",61902132,38,39,56,138,65,394
"2695",61902133,77,35,67,49,78,310
"2696",61902134,42,71,63,126,66,399
"2697",61902135,50,30,64,76,75,453
"2698",61902136,50,-3,80,74,78,460
"2699",61902138,36,61,38,347,71,141
"2700",61902139,21,400,28,193,38,109
"2701",61902140,26,244,47,97,64,109
"2702",61902141,,,,,,
"2703",61902142,50,50,31,581,71,143
"2704",61902143,16,240,20,534,24,67
"2705",61903001,42,26,53,250,70,277
"2706",61903041,60,10,35,342,50,360
"2707",61903101,,,,,,
"2708",61903102,39,18,30,486,49,403
"2709",61905001,23,13,52,254,68,568
"2710",61905002,,,,,,
"2711",61905041,25,40,35,402,49,960
"2712",61905101,50,8,22,102,44,148
"2713",61905102,38,21,32,280,53,615
"2714",61905103,,,,,,
"2715",61906001,44,16,44,142,62,457
"2716",61906041,26,23,40,311,53,709
"2717",61906101,31,35,33,269,51,599
"2718",61907001,46,68,64,166,72,644
"2719",61907002,,,,,,
"2720",61907041,34,154,48,404,61,1581
"2721",61907101,83,6,46,74,66,363
"2722",61907102,23,61,32,90,51,284
"2723",61908001,40,47,40,343,64,717
"2724",61908003,,,0,8,38,16
"2725",61908041,13,46,37,339,52,904
"2726",61908101,36,28,38,337,44,585
"2727",61908102,,,,,,
"2728",61908104,43,30,49,171,64,385
"2729",61908105,25,12,37,94,60,270
"2730",61910001,75,20,83,132,87,924
"2731",61910041,66,44,63,299,70,1809
"2732",61910042,71,17,61,151,66,1002
"2733",61910101,17,-3,54,74,67,327
"2734",61911001,59,195,60,656,72,1407
"2735",61911003,,,,,,
"2736",61911005,,,,,,
"2737",61911007,66,227,69,626,84,1899
"2738",61911010,73,15,85,33,89,134
"2739",61911011,62,376,68,667,79,1834
"2740",61911042,59,149,60,487,76,2286
"2741",61911043,53,213,51,645,61,1832
"2742",61911044,39,44,34,428,54,804
"2743",61911045,56,257,60,564,68,1646
"2744",61911046,35,223,59,516,68,1809
"2745",61911047,47,452,50,868,64,1767
"2746",61911101,32,37,43,106,69,451
"2747",61911102,30,20,39,183,58,599
"2748",61911106,64,14,74,70,76,562
"2749",61911107,48,64,56,270,69,496
"2750",61911108,85,13,23,222,44,441
"2751",61911109,60,40,58,139,79,873
"2752",61911110,33,81,51,77,61,358
"2753",61911111,31,29,36,167,39,335
"2754",61911112,30,128,41,188,45,357
"2755",61911113,57,84,42,219,61,471
"2756",61911114,60,70,64,179,73,675
"2757",61911115,37,92,47,191,50,565
"2758",61911116,52,124,53,194,59,422
"2759",61911117,46,125,36,317,51,445
"2760",61911118,30,93,45,139,52,399
"2761",61911119,36,66,50,264,61,660
"2762",61911120,55,62,64,134,70,561
"2763",61911121,43,92,48,116,65,276
"2764",61912001,46,145,55,530,67,926
"2765",61912041,33,240,41,786,58,1408
"2766",61912101,31,58,35,325,53,412
"2767",61912103,34,94,39,235,46,362
"2768",61912105,23,-3,28,170,60,406
"2769",61914001,46,591,47,1224,62,996
"2770",61914002,,,,,,
"2771",61914041,34,791,39,1824,51,1363
"2772",61914042,58,151,55,380,67,762
"2773",61914103,22,108,31,408,62,260
"2774",61914104,31,171,29,261,49,305
"2775",61914105,34,122,36,379,49,186
"2776",61914107,48,193,52,182,48,332
"2777",61914108,38,103,31,549,53,275
"2778",62901001,32,98,48,351,70,342
"2779",62901041,23,151,35,627,58,476
"2780",62901042,26,106,27,568,53,354
"2781",62901104,,,,,,
"2782",62902001,56,9,31,113,47,122
"2783",62903001,25,76,38,522,51,209
"2784",62903041,25,59,31,718,49,218
"2785",62903102,32,59,41,644,63,224
"2786",62903103,,,,,,
"2787",62904001,-1,-1,29,-3,70,111
"2788",62904041,13,8,24,175,39,137
"2789",62904102,0,8,15,150,34,156
"2790",62905101,,,45,65,55,84
"2791",62906101,45,11,32,44,65,152
"2792",63903001,82,11,35,195,53,198
"2793",63906001,50,6,39,84,53,76
"2794",64903001,,,45,831,58,-3
"2795",64903041,-1,-1,33,1043,82,57
"2796",64903102,-1,-1,47,258,100,6
"2797",64903103,50,12,30,1246,65,37
"2798",65901001,62,13,52,23,67,116
"2799",65901041,14,35,45,53,54,199
"2800",65901101,22,-3,64,36,58,177
"2801",65902001,0,-3,46,39,66,139
"2802",66005101,,,21,24,,
"2803",66901001,,,30,-3,-1,-1
"2804",66901041,,,38,201,,
"2805",66902001,,,48,499,50,8
"2806",66902041,-1,-1,25,926,33,-3
"2807",66902101,,,28,883,23,31
"2808",66903002,,,40,326,50,22
"2809",66903042,-1,-1,36,452,45,44
"2810",66903102,,,23,384,53,-3
"2811",67902001,60,5,80,70,76,204
"2812",67902004,,,-1,-1,12,-3
"2813",67902041,0,9,45,106,63,432
"2814",67902101,25,8,44,79,49,382
"2815",67903001,9,-3,42,151,45,365
"2816",67903041,0,9,50,223,63,446
"2817",67903101,,,31,-3,50,428
"2818",67904001,-1,-1,56,41,47,-3
"2819",67904042,,,39,70,27,132
"2820",67904101,,,26,65,31,109
"2821",67907001,-1,-1,34,35,44,108
"2822",67907041,-1,-1,26,-3,27,187
"2823",67907101,-1,-1,38,50,33,124
"2824",67908001,-1,-1,40,30,38,103
"2825",67908101,,,24,29,50,74
"2826",68802001,37,38,52,817,54,1125
"2827",68803001,73,11,43,614,48,704
"2828",68901002,23,133,30,5029,35,480
"2829",68901003,23,327,35,3624,51,1187
"2830",68901004,,,,,,
"2831",68901005,,,,,,
"2832",68901011,67,-3,68,379,76,89
"2833",68901014,67,6,67,317,73,84
"2834",68901015,47,15,68,189,69,120
"2835",68901042,20,168,23,2206,33,481
"2836",68901043,21,101,23,2816,32,427
"2837",68901044,22,63,23,2757,27,364
"2838",68901045,22,177,22,1928,26,814
"2839",68901046,26,228,35,2115,48,990
"2840",68901047,15,48,23,3597,31,241
"2841",68901101,6,17,44,364,49,68
"2842",68901102,25,8,43,309,44,63
"2843",68901103,10,30,25,519,31,58
"2844",68901104,8,38,20,515,29,179
"2845",68901105,,,44,617,86,7
"2846",68901106,,,,,,
"2847",68901107,11,66,24,614,18,60
"2848",68901110,5,19,29,519,23,133
"2849",68901111,31,26,32,408,38,151
"2850",68901112,57,30,57,329,63,62
"2851",68901113,13,30,21,562,29,62
"2852",68901114,21,29,23,469,31,228
"2853",68901115,,,,,,
"2854",68901116,19,32,38,547,39,75
"2855",68901117,,,,,,
"2856",68901118,100,17,87,421,92,248
"2857",68901119,17,42,17,349,17,159
"2858",68901121,9,22,50,577,56,79
"2859",68901122,14,51,25,902,31,68
"2860",68901123,,,,,,
"2861",68901124,4,47,24,1072,32,152
"2862",68901125,30,67,38,326,38,182
"2863",68901126,,,40,800,42,95
"2864",68901127,6,127,21,704,29,75
"2865",68901128,26,31,29,667,45,215
"2866",68901129,44,39,41,644,44,262
"2867",68901130,,,29,781,35,-3
"2868",68901131,-1,-1,24,866,26,68
"2869",68901132,25,8,26,717,38,147
"2870",68901133,14,14,49,587,56,278
"2871",69901001,,,20,352,51,124
"2872",69902001,-1,-1,50,101,56,108
"2873",69902101,,,29,87,48,109
"2874",70801002,18,1216,21,2877,14,42
"2875",70801041,30,69,37,128,50,80
"2876",70901001,0,9,31,212,46,336
"2877",70903002,32,303,46,1373,65,661
"2878",70903042,29,332,39,1698,54,828
"2879",70903043,29,222,42,924,54,449
"2880",70903101,23,26,42,110,55,58
"2881",70903102,30,30,33,138,81,32
"2882",70903103,32,22,36,134,45,76
"2883",70903104,42,24,60,100,69,54
"2884",70903105,22,182,37,903,54,495
"2885",70903106,,,,,,
"2886",70903107,,,,,,
"2887",70905002,25,93,39,896,43,234
"2888",70905041,23,111,31,1226,39,308
"2889",70905103,,,,,,
"2890",70905104,21,75,36,850,33,267
"2891",70905105,22,18,43,252,54,72
"2892",70907001,18,62,46,190,60,261
"2893",70907101,15,54,32,173,40,214
"2894",70908001,53,237,48,677,60,1535
"2895",70908003,52,82,61,239,72,879
"2896",70908042,48,252,46,758,60,2172
"2897",70908044,44,251,55,753,68,2104
"2898",70908103,50,10,52,82,55,332
"2899",70908104,28,99,32,185,53,415
"2900",70908105,50,46,55,159,65,518
"2901",70908106,47,60,54,130,57,672
"2902",70908107,39,44,30,372,41,373
"2903",70908108,39,96,61,153,60,666
"2904",70908109,55,44,54,168,63,583
"2905",70909001,14,81,23,158,26,166
"2906",70910001,100,-3,59,226,72,206
"2907",70910041,45,29,48,504,61,556
"2908",70910101,42,12,32,191,49,283
"2909",70911001,50,699,53,916,61,899
"2910",70911041,42,1114,45,1437,55,1419
"2911",70911101,35,251,39,294,53,237
"2912",70911102,43,47,40,455,53,260
"2913",70911103,46,76,47,232,62,260
"2914",70911105,34,196,44,217,57,300
"2915",70911107,48,197,50,171,41,105
"2916",70912002,39,595,54,1292,67,1391
"2917",70912003,,,-1,-1,,
"2918",70912004,82,28,82,137,92,180
"2919",70912042,34,146,44,723,52,830
"2920",70912043,33,284,45,556,60,907
"2921",70912045,23,349,42,1001,51,1111
"2922",70912104,22,54,50,155,47,297
"2923",70912106,28,25,43,435,52,153
"2924",70912107,47,62,57,256,69,380
"2925",70912108,24,96,43,451,52,285
"2926",70912110,38,40,54,163,71,491
"2927",70912111,38,185,46,207,49,267
"2928",70912112,44,63,40,167,51,250
"2929",70912113,,,,,,
"2930",70912114,33,39,51,140,56,303
"2931",70915001,42,12,36,134,62,432
"2932",70915041,29,24,29,192,44,778
"2933",70915101,57,-3,40,94,50,310
"2934",71801001,53,-3,57,570,67,48
"2935",71801003,37,19,51,868,62,98
"2936",71803001,,,35,118,,
"2937",71803002,,,40,91,,
"2938",71804001,,,30,186,78,9
"2939",71804002,,,33,168,33,6
"2940",71806001,64,25,65,1767,77,71
"2941",71806002,48,80,46,1730,54,200
"2942",71806004,39,115,44,340,60,140
"2943",71806005,43,83,37,679,38,132
